Comment,Sentiment
Why am I crying seeing this... how much struggle has gone in to gain this independence..,0
"When one parent doesn't want their child to read a certain book they can fill out a form so no child in the school can read it. That sounds more like indoctrination than education. Instead of removing the book from the whole school they should just disallow that one student access to the book.  Sorry Johnny, you can't check out that book because your parents said so!",0
love it but my brother hates it <3,0
"""Everyone is intelligent but our grades made us idiots""

-Jabin Baret (2021)",0
"Twitter: ""Creating a safer environment for people to freely express themselves in."" 
Pxrge: Freely expresses himself. 
Twitter: You weren't supposed to do that.",0
"As someone who's from MD and lives in PA - Pennsylvania came higher than I expected and Maryland was lower. Baltimore probably dragged Maryland down, but PA is a surprise. That's because Pennsylvania schools are funded through a system called ""school taxes"", where each of the 500 school districts (spread across 67 counties) levy their own property taxes to fund their schools. That's why someone living next door to you can be paying twice as much in taxes to go to a school half as good. This system has been known to disproportionately affect rural and urban school districts and tip in favor of school districts in suburban communities, or those in the Poconos where they have resorts that people own condos at.",0
I'm surprised by the environmental score going to Apple. Apple phones while made from recycled materials are made in such a way that makes repairs very difficult compared to most Android phones. One could argue that Apple's poor repairability contributes more to e-waste than Androids. Surprised that didn't get a mention.,0
"This guy really just said ""people are too judgemental"" haha",0
The most significant question of our time: Is the president of the United States above the law?  How the DOJ answers that will determine if democracy fails in America.,0
"Hey, something that might interest you. A couple of days ago my Amazon account was closed with no warning for after hours of wasted time they're telling me it's for excessive returns which I think is an error but that's beside the point. When they closed my Amazon account all my Amazon devices that I own for years primarily all my Echo devices stopped working. I lost access to the Amazon Photos and Prime Video which I pay for. So apparently the devices you already own are subject to be disabled by Amazon on your perceived shopping habits! I assume the same applies to all other Amazon devices and services like fire OS tablets, Ring cameras, and probably AWS as well. Just wanted to make other people aware of this because they definitely don't tell you this when you buy your hardware and services.",0
Great video. Europe should also expect an extreme winter much like the extreme summer they have just experienced. So the stores will definitely not be enough.,0
"Music is something that we cant understand because of how weird they have given to us, a chill feeling. Ridiculous",0
"This hit me so Hard, i used to put this list in my Job, (SPA from a hotel in Chlie), still make me feel chills",0
"No way these SAT scores were accurate. 2300 out of 2400? Yea okay, someone doesn't know how the scoring works!",0
"**The movie explains how to kill him** You need to make him be afraid you. What ever he turns into, you need to face that fear and fight back. Once Pennywise realises that you aren't scared, he will begin to starve because he ""feeds"" off of fear. Once he starves, and is weakened, you can finish him off for good.",0
The hardest part in your life is when a person who gaves you the best memories becomes a memory.,0
If u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free,0
We need to see what man can do to man. Children who were viewed as mentally deficient were wiped out by the Nazi regime among others who didn't fit an Aryan profile. It happened then and can happen again. So many atrocities still go on to this day.,0
The polygon token has lost its utility since it will no longer be used for gas fees. Can you tell us why you're still buliish on it?,0
She isnt a bad mom to do that. Lots of kids think that they can be an epic gamer and earn tons but the sad truth is that life is unfair.,0
I'm honestly quite confused why she hasn't been taken to court yet. She has a nutrition facts that make NO SENSE,0
"There's also been cases where someone follows their GPS into flooded underpasses and drowned. It was night, they were unfamiliar with the area & the water rose really fast. Locals kinda know where to stay clear of when it starts raining hard, but it's hard to navigate at night when visibility is already terrible.",0
"I get why people would get annoyed if they were zoom bombed, but it was ridiculous how SS was accusing y'll of being immature and childlike while she was talking like some 9 year old diva.",0
"Can we respect that Nick constantly shows himself eating Crab and Lobster Despite being Allergic to Shellfish, What a goat",0
"""i'm allergic to penicillin and azithromycin""  -  round of applause for the parents",0
"It takes an absolute ""monster"" to treat other human beings like that.",0
I will not tolerate you disrespecting my brothers with your nose candy..,0
"Apple has questionable and unethical business practice and model....
I wont be surprised if this is some sort of internal play to forward their profits.",0
If you don't like Hall and Oates then you probably don't like music.,0
"If the market is so heavily effected by a tweet then it isn't based in reality, a home, gallons of gas or milk, etc. are always in demand and you can't say the price doubled because of ""economics"" 
Why do economy dynamics always favor the rich? The prices never fall when the current crisis is over, not significantly",0
"That footage of the finless shark plummeting to the sea floor was appalling. I'm incredibly glad you showed it, but it's appalling. I'm not outright against the killing of animals, but the combination of outright cruelty and waste is just mind bending. I struggle with how humans can so easily disconnect from certain realities (I struggle with how I see it in myself as well). A fisherman would know that these sharks would still be alive when they're thrown back in, if they just stopped to even think about what they're doing. If they're hellbent on wasting the rest of the shark, just slit the damn thing's throat before you throw it back, you sick fuck",0
Targaryans have a history of putting a lot of stock in their dreams. The only reasons the house survived the doom of Valyria is because one of them had a dream it would happen and they packed up and went to Dragonstone. Even in Game of Thrones Dany had a dream about stepping into the fire that hatched her eggs. That's why she did it. This is the problem with watching this show and criticizing certain characters without having any book context at all.,0
"*""do you have strawberry?""*
""yes""
*""then I will have vanilla""*

Iswtg that got me wheezing",0
"McConnell's ONLY goal is to become senate leader again. Why listen to him? He acts only in self-interest, not for the good of Americans he's supposed to be representing.
I think he cares who is in the White House, not for Americans' interests, but he cares -like all narcissists- only about how that president would impact his power. 
McConnell has refused to do his job for years by sitting on bills that Americans want passed and refusing to act. In fact, he has been smugly crowing about it. 
McConnell, like Trump, is very angry that he lost his position. His only focus & concern is getting his power back.
He has been in congress way too long. He's secured his millions. His days of ""glory"" are over. He should be removed from office.",0
Slow hirings may be caused by a rapid rising labor cost in hi tech ind,0
"He always sues everyone, he's a well known scammer who gets paid to promote crypto scams. He's got a reputation.",0
To be good at something you got to be doing it all the time. Why do you think the Americans are so good at war.,0
I got a bad feeling about jay doing experiments next thing you know he creates some kinda SCP pony,0
"""Ted Cruz is a total hypocrite and, until recently, a Canadian citizen who may not even have a legal right to run for president.""  -Donald Trump 2015",0
legend says These bait scammers are still out there baiting innocent helpless noobs,0
"The Pillow Guy (screaming) ""Forget about the evidence""
That's all you need to know about him and his followers.",0
"The question is, why wasn't he arrested back when it was first discovered he's taken the documents. He claims that his staff must have ""accidentally"" grabbed them with the moving boxes as he was leaving the WH. Has that ever happened before? Has any other president accidentally moved over 20 boxes full of classified documents when they left?",0
Not only on the wrong track but off the rails Chuck.,0
"Did anyone believe and experienced a firmware issue when you're using an older device wherein from nowhere there arises some issues and you're forced to switch to an upgrade. 
Says a handful of people are affected, will the company ready to pay a price for that. Many users doesn't know whether they're affected or not, and any data been shared or not in the background. What does the Apple team will do about it.",0
"At least in my town, we have 1 old zoning law that prevents THOUSANDS of affordable lots from being developed. Lift that restriction and ideally streamline permitting and loosen regulations. But they won't. Too much local vested interest in keeping the supply down. I know my town isn't the only one with this zoning law.",0
"This is soo true.. 
But the real situation is even more dull. 
For the sake of the work, schools are providing the online classes to the students without considering whether they have or haven't necessary access to the resources. 
This malice is pervading in rural regions more abruptly",0
"Dayum, what a game breaking dupe. I hope the developers patch this soon.",0
"After the foul taste the original GoT left in my mouth, I didn't have very high hopes for this. Yet I watched it and it honestly feels like the earlier seasons, maybe not quite there yet, but definitely enough to have me hooked and wanting more of it.

I find it hard to pinpoint Daemon, on the one hand he wants to show strength (the city watch part), but then he's also arrogant (the tournament, claiming victory while the fight wasn't over) and straight up horrible (heir for a day?). But on the other hand, he really cares for Rhaenyra and at the funeral he told her, her father would need him more now than ever before, which shows he also cares for Viserys. I think him calling Viserys weak, was his blunt way of telling Viserys to watch out for those at the council and act like a king, which is in line with what he did with the city watch, he feels like the king should show his strength.

Viserys seems like he's held things together for those 9 years, but this clearly is coming to an end, I feel like he's made a huge mistake by alienating Daemon, this won't make things easy for Rhaenyra, who already has to fight the fact that some people don't want a woman on the throne. In the end I think it will be between those two and Viserys will be long gone from the picture.",0
"This is terrifying. Imagine getting reported and registered as a predator, because an algorithm from some big tech company has decided, that something like this or maybe even family pictures from the beach are CP.",0
The fact that people can even do 3x3 cubes is beyond me but watching this guy did a 15x15 and in only 2 and a half hours blew my mind on another level,0
"Inventor: ""I feel bad, so we could either A) I'll pay for therapy and some extra money to help him recover. Or B) we can organize an elaborate death game that will require a whole bunch of set pieces, actors, and effects to traumatize him a different way.""

Wife: ""I like B, let's do B.""",0
That pie chart is what happens when you flunk your math classes.,0
"Even after practicing more than 1600 questions till now, I'm not able to cross the 1300 barrier; I have given 5 practice tests till today and my scores are : 1350, 1310, 1250, 1310 and 1320. What could be the probable reason according to you? Please help. I really feel frustrated and hopeless now to think that even after practicing so many questions I'm not able to get a 1400+ score.

Edit : I've given one attempt and my score was 1310",0
"""It's 2019 there's no way you're bad at computers"" 
You've clearly never worked in tech support.",0
Whoever is doing those motion graphics is just killing it.,0
"Gura unleashed her gag inducing knowledge.
Kronii, Bae and Chat: Jeesus Gura!!! 
Mumei: I'll google it!! 
Just hearing it is already too much but searching for it and sharing it!? This two is really built different",0
"As someone with ADHD, I'm just happy I wasn't alive in those times. I have a feeling that I might have ended up in one just because I was hard to handle at school seeing how I had a teacher throw an eraser at me in Kindergarten. While I still think we have a long way to go to be able to not make mental illness so taboo. We have also come a long way but I'm worried we'll step backward if we're not careful.",0
a really great video though I found the background music very distracting and had to watch it on mute with the captions which was disappointing.,0
For a country with a terrible education rating in the world. You're doing your best to fall further down the list,0
Love how this little kid acts like he's fully grown but doesn't realize how bad this situation could've turned. They act like they understand the real world but they don't.,0
"I take deep exception with the image of Ozzy Osborne being used as an example of celebrity not known for what they do. Ozzy is a veritable treasure and god of music. How dare you.
Right after the Kardashians, really... wtf",0
Your nose and stash look like a combo with your glasses,0
"I guess you can't teach self-driving cars using RL in the real world (punishing them if they collide would be a little too late). So I would guess that RL is used only in lab simulations, and then later in the real world, these systems are only performing the task (without actively using RL). Do I get it right?",0
Airlines need to STOP TAKING MONEY for services they CANNOT RENDER .,0
"me, a canadian high school student:
""the SATs dont stand a *chance* now""",0
"Multiplayer trophies tied to the platinum will always, ALWAYS be the worst.",0
"The most advanced ""aggressive"" alien species is less of a threat to humanity than the earthly powers in control",0
"Of all the multiple universes and the infinity of it all, why would we be a threat to any aliens, or better yet, why would aliens even notice our existence, especially if we are as a planet, near destruction anyway?",0
The world is laughing at us! As we slowly split our country apart. These people have abused there power for too long now.,0
"I wish I saw this 6 months ago! I've been trying to transition careers from physics to ""data science"" and after not having much luck despite what I thought to be very similar methods used in my former career, now its becoming clear why my resume is getting nowhere... I've focused on the top too much, haven't showcased my whole pyramid.  Thank you bro!",0
"Top Secret and Top Secret SCI (Sensitive Compartmented Information). As someone who once held military and then civilian clearances necessary to serve in the Naval Nuclear Field, then work on several ultra-sensitive nuclear and weapons programs, the safeguards surrounding these materials are manifold and complex. These materials can't be declassified on a whim, and certainly don't belong outside of a secure facility.

None of this passes the smell test. In fact, it stinks to high heaven.

Let us not forget what 45 did with records pertaining to his infamous call with President Zelenskyy. Information was reclassified, then stored under code word protocols. Could this be some of the material the former president unlawfully had in his possession? Only time will tell.",0
I was raised in a teaching family when the profession was respected and teacher strikes unheard of.  Fast forward to a major university where teaching majors walk away from the profession after their first classroom experiences.  Why would any sane person want to be in a job when they are disrespected or not trusted so much?,0
The Trene Control Alarm will not deter someone who really wants it.  They will just knock that gadget off and run with your property.,0
My Macbook Pro literally died last night so I'd say I'm safe...,0
"Everyone's understandind of the situation is relative to their own subjective experience. It is unfair to make comparisons bewtween the past and the present without taking into account all the different variables (which is practically impossible).

It's like electricity going out and you saying ""You think that's bad!?! Ackchually humans lived without electricity for thousands of yeears!"". Of course that's a ridiculous statement because humans in the past were not nearly as dependent on electricity as we are now, and even though it may not have been important to them, to us no electricity for just a month could mean the dissolution of the world as we know it.

So please don't make ignorant comparisons between the present and the past as if things were indeed that simple.",0
I swear it's a tragic comedy we are witnessing.,0
Weird,0
"Imagine a whole protest of absurd signs like this, I would join.",0
"He has lost what is most precious to himself , his no claims bonus .",0
"Economy's fine, no cause for concern, just like in 1980, 1990, 2001, 2007, 2020, right?.  The problem is:  the economy is a mess because the money supply and fiscal policy is too loose, but the economy is now dependent on a loose money supply and loose fiscal policy just to function.  So no matter what you do 1) Nothing 2)Tighten  or 3) Loosen, the economy suffers.",0
"""these creative children have turned Into these Teenagers who are unwilling to think outside the box.""
Im only 13 and i felt that in my soul.",0
"ek misunderstanding usi hai aapko.
'No First Use' Policy, Nuclear wepons ke liye hai.
Normal conventional bomb me aisa koi policy nahi hai.",0
I was born in Dhaka and have never even heard of this Muslin. It makes me really sad to think how much of our culture and knowledge was destroyed.,0
Not even 300 frames per second can save the plot.,0
*Muler is more ballboi than a footballer*,0
I am very creeped out by this guy calling this AI a person. Anyone else?,0
"We all want to stop talking about Dump! As soon as he is indicted, tried, convicted and imprisoned as is appropriate according to the law!",0
"Chess does  not improve focus, it worsens it. Everytime I try to do something, I want to play chess so I can't focus on the task at hand",0
"The parents need to go to jail, for allowing their daughters to be allowed to be with  r. Kelly",0
I'm just shocked and saddened that they've ignored the most significant vacuum cleaner advance: the retractable cord.,0
"my dad was a Drill Sargent in the Army, he had the ability to read people's behavior like this..it was unnerving to have him explain my behavior to me",0
"Dude, bold of him to say he 'now suffers from emotional distress' when he himself caused you to vomit out of stress
This whole ordeal must be a nightmare, my heat goes out to you buddy, and I wish you the best of luck",0
I really appreciate your news channel. but listen to this guy is too painful for me and I am very sorry to spend on a few seconds to make my comments. Thank you.,0
"This only works if all people involved are reasonable. If one or more parties can't be reasoned with, then the problem continues. You can communicate until you're blue in the face, but if the other person isn't willing to communicate appropriately, then you've hit a brick wall.",0
"""Their bad behavior shouldn't be the cause of your heart-attack.""
Brilliant!",0
where is the fun?,0
"""Never underestimate the power of stupid people in large groups.""

                                      George Carlin",0
"Pretty difficult to change the opinions of people whose opinions don't require evidence, especially not by presenting evidence to the contrary.",0
"My theory here:

- That ""plant creature"" could possibly be that Fungus but in a more mutated form. As seen previously in the ""Missing Persons"" and  ""Autopsy Report"" videos, whenever someone dies in the Backrooms, they get covered in this black coloured fungus. This fungus is said to be growing and feeding itself onto the person it has attached itself onto (mutating itself onto the dead body). Given that how it takes a long time for certain funguses to mutate (100, 1000 or even millions of years at best) and also given that how time passes strangely in the Backrooms as seen by the researcher who was in the ""Informational"" video with the date 2/9/1990 looked as if he teleported when that strange bizarre flash appeared and his other group researchers vanished, however it wasn't teleportation but instead time travel. That researcher was all of a sudden sent to the future a couple of months ahead as it was shown in the ""Presentation"" video with the date 5/8/1990 when the alarm rang out and CCTV footage showing us the same researcher guy who by some miracle made it back to the entry gate point artificially created by Async. So by this logic, the whenever someone dies in the Backrooms, the fungus on the dead body has already reached the mutation stage in a short amount of time. The creature in this found footage has to be the driver who died in the car crash. As seen in Kane's secret video of ""9780415263573"", this car travelling at a really high speed on a highway suddenly no clipped through the road and due to the high speed, the driver wasn't able to push the brakes in time to stop the car. Thus it crashed into the wall as seen in the footage. The driver who was still alive at the time but badly injured seemed to have crawled his way to the room where this teenage girl encountered the creature and possibly bled to death there. The fungus grew on him and later the entire room in it's mutated form. Also it sounded like the creature was yelling out ""Help"" in a distorted sound possible the last words of the driver before his death in that room (which was seen in the ""original found footage"" video and later the ""Pitfalls"" video that this creature seems to mimic the sounds of it's last victims and in this case, even it's originator which is the driver). It's all just a theory which I just came up with. Don't take it canon lol.",0
Big tech having zero accountability has led to unbelievable levels of evil,0
.Bad Mother Herobrine,0
"Most times it amazes me greatly the way I moved from an average lifestyle to earning over 63k per month, utter shock is the word. I have understood a lot in the past few years to doubt that opportunities abound in the financial markets, The only thing is to know where to focus.",0
update: i switched my major to mathematics. I guess CS was not for me xD,0
The fact that he gave himself a full head of hair in a fantasy story of himself can never be not funny to me lmao,0
"The question of whether to indict, prosecute a former president is irrelevant and immaterial: if he's guilty, he's guilty.",0
Kevin McCarthy 's statement can be used against him as a threat made by him if at all the GOP takes the house. Sensible American  would not vote for him this time.,0
"I remember two years ago staying up at 3 in the morning with a cup of anxiety, just to listen to the 3 AM Study Session premiere at 144p using limited data on my half cracked phone, wondering where I'll be in the future and if things will go well for me after I graduate.

Now here I am once again at 3 in the morning with a cup of coffee, fast internet, and my own custom PC. It took a lot to get here and I still have a long way to go in life and have uncertainties for my future. But for anyone out there who have worries or anxieties for their next few years, just know that if I could make it, than so can you. I hope you will get to experience the same bliss I have at the moment. As we often forget to enjoy just today, when we keep thinking about the tomorrows

And thank you ChilledCow, for being there during the moments

Edit: I just want to say I appreciate everyone for all the encouraging likes and messages. I wish nothing but the best for all of you who are pulling through your struggles",0
I HAVE ATTRACTED SO MUCH LOSSES TRADING ON MY OWN...I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED... CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I'M DOING WRONG ?,0
Why I Disappeared....: https://www.youtube.com/watch?v=ZnCl9LhnfEw,0
"Honestly, Chandler being in darkness was genuinely crazy, pure darkness can make someone go mad",0
"""We want happiness but we have a special talent of making ourself miserable"" (c)Dostoevsky",0
"There was also another problem with the fit-bit, when some of the straps would irritate your skin and leave a rash and still the company hasn't dealt with it yet.",0
"This guy lowkey said ""You are not vulnerable to this attack and shouldn't need to worry about because you are useless.""",0
Imagine falling in the Lego house. That's way worse than just stepping on a Lego.,0
"*1997* : Legendary Pokemon are elusive to find, and even more difficult to catch. Usually only obtainable after finishing the main game. Non-stop rumours about dubious methods for how to obtain them (underneath trucks etc)
*2022* : VVVVRRROOOOMMMMM!!!",0
"""He lost me at, ""It makes us look like extremist Democrats."" Why the hell can these people NOT respond to a direct question about their behavior without trying to deflect to Democrats?""(I agree with Ms. Claire""  WHAT IS HE TALKING ABOUT!?!? If a Democrat was doing what Trump was doing WHAT WOULD HE SAY AND DO!?!? TAKE SOME BLOODY RESPONSIBILITY!!!",0
"After going through and seeing the user interface, the ""download"" button is not as prominent as the ""proceed to purchase"" button is obvious.  I can see people hitting the purchase button thinking that will get them to where they need to go, but then they see that they have to pay for it and get frustrated.  I have some experience with UX/UI design so that stands out.",0
As someone who has dreamed about building their own legitimate fireworks display this just makes me sad that I can't do what you're doing. I put on a show for my friends every year but we just don't have the resources you all do. Love it regardless though.,0
"It's a shame.  If Scott Waring ever does find something legit, nobody will believe him.  His credibility is irreparably shot.",0
He always wants somebody to go with him wicked old man,0
Worthless movie and screwed up sound track ..... Don't even try,0
6:47 Lets fight crime by prosecuting whiny Orange politicians who got taped asking the attorney general in the state of Georgia to find them 11780 votes!,0
Dude's beating those drums like they owe him money.,0
"I remember reading an article about   an apartment building that kept making people sick and they suspected mold but couldn't find any, it turned out that the air conditioning ducts were making a high pitch frequency sound that was making people sick.",0
"Those are valuable pieces of advice. I always get caught going deep, but my main problem is distraction.  I end up learning too many things.",0
I remember when the History Channel had shows about History.  I miss that.,0
"Arun: ""This product destroyed the entirety of Earth""
Also Arun: ""6 out of 10 fail""",0
"""Hurting somebody's feelings is easy as throwing a rock in the ocean, but do you know how deep that rock goes?""",0
"""If you can't explain it simply, you don't understand it well enough"" 
-Albert Einstein",1
Do we honestly believe anything Big Tech does or say is for the social good? Rhetorical question.  Praying Elon rules the day!,1
"""Life seems but a quick succession of busy nothings"" - Jane Austen",1
I'm sure everyone would love to hear about some materials you've gone through to follow this DS path. Getting an internship is impossible in Japan.,1
It's called jellyfish and it can be only used on a solved cube and used to make a checkerboards pattern,1
Get To The Point Where Anyone Thinks He's Going To Lose Sleep. The Brother Is To Real And Funny.,1
"1:24 #94, to be fair, even if he had caught it, he was probably coming down out of bounds.",1
"a good one would be, put a hole in the bed defense, and they will think its already broken",1
"""he played it somewhere in 2016, so it's fresh in my mind""",1
"I would love to see these bills live. I live in a country where we had one company try and rule the internet, charging outrageous prices for it. They had specifically bought the copper network to do it. The government of NZ denied that as a defense as they were monopolising it, and forced them to open up. Suddenly it turned out it DIDN'T cost $300 to connect to unlimited internet, you could get that for $80!",1
"I understand wanting a bigger base storage, but keep in mind, they are still upgrading a lot of the hardware. It still costs extra monies for the camera and stuff.",1
"Android has air drop..it's called ""nearby share"" FaceTime is just video calling",1
"Remember that Nintendo Treehouse works with localisation and translation of games, and this is what they are working on at the moment",1
"Let me note that ""Computer Graphics"" programming doesn't only involve images. There's been some work on writing GPGPU software, i.e. CUDA/OpenCL, that accelerates system processes that are traditionally given to CPUs. In particular, anything that can benefit from parallel computing will need GPU software.",1
"Begula: Never google this word
Everyone: *Instantly starts googling it*",1
"I think for most of the big tech companies, it is well known that you need to have competing offers in order to get higher offer. For Google, there are actual conditions on how the comp team can offer you what package under what conditions. My recruiter told me very clear about these at the beginning. It is not that they tried to lowball you. Giving them the screenshot of your competing offer is pretty common.",1
Just because the song is called Bed doesn't mean yall should sleep on it,1
"maybe we could build more water reservoirs on a smaller scale to gather this much needed water, just an idea",1
Best gambler. Gz for the money.,1
"I think it's down to your mindset. There are some truly trash novels in existence, but you can read something like Normal People and take something away from it, like what your mum said about her crime novels. If you have a philosophical/analytical/learning mindset then any book or even trash reality shows can be good places to apply and challenge your thoughts about other people and contemporary society.

A literature degree is a good place to ""learn to learn"" and really develop that analytical mindset and how to write essays, but this can be accomplished through so many other degrees also.",1
"""Books belong to their readers."" ~novelist John Green",1
"TLDR:

1) own something
2) try to make it a monopoly (either legally or physically, e.g. tie it your personality)",1
It would have been a nice movie only it's really low and sound,1
"I think the free-choice gym makes sense because, in the pokemon world, there are trainers who start their journey from towns or cities more advanced than the first village of the main character. Imagine if every npc started from Pallet Town, that wouldn't make much sense right?",1
"I've twice seen UFOs. Both times with my mum & bro. First time in Melbourne Australia in 1965 was on way to school we & many others saw heaps, perhaps 15 or 20 bright tiny star looking UFOs weaving in out from each other. 2nd 1970 in Adelaide Oz all 3 of us caught thru our loungeroom window at dusk a very bright spinning light which burst into a bigger light before vanishing.",1
"Cant wait for the 2 cent competition
(Though, realistically, that would be too expensive)",1
That's the real reason Troy retired,1
"1- practice small talk
2-tell me a bit about yourself?studys
3-practice the question free talking 
4- can you tell me how you heard about this position?
5-what attracted you to our company?
6-what would you say your greatest strength?
7-how do you handle a bad situation?
8-what do you consider your weakness?
7-where do you see yourself in 5 yeara? by then i would like to be...
8- your turn to ask.",1
It is hilarious how Chris is more interested in 420 and 69 than winning,1
